Time,Category level 0,Category level 1,Category level 2,Unique SKUs Listed,Unique SKUs Sold,# of sold SKU items,Price before Discount (includ. VAT) (EUR),Discount Value (EUR),Item COGS (net VAT) (EUR),"Waste, # of items"
2023-07-05,Grocery Food,🧑‍🍳 Pantry,Gluten Free Flour & Baking,5,0,0,0,0,0,0
2023-09-16,Grocery Food,🧑‍🍳 Pantry,Gluten Free Cereal,2,0,0,0,0,0,0
2023-09-25,Grocery Food,🥤 Beverages,Soft Drinks,59,50,486,764.474894,35.512216,510.17,1
2023-09-04,Grocery Food,🧑‍🍳 Pantry,Gluten Free Flour & Baking,5,0,0,0,0,0,0
2023-09-28,Grocery Food,🥃 Spirits,Whiskey & Bourbon,17,3,5,143.338926,13.024416,83.00251,0
2023-09-26,Grocery Food,🥃 Spirits,Vodka,9,2,2,22.820293,1.598707,13.70063,0
2023-08-20,Grocery Food,🥤 Beverages,Energy Drinks,30,21,104,142.126613,8.106112,90.5575,0
2023-07-07,Grocery Food,🥤 Beverages,Kombucha,2,0,0,0,0,0,0
2023-07-06,Grocery Food,🍺 Beer & Cider,National Favourites,14,12,221,201.576497,7.875831,123.83526,0
2023-08-29,Grocery Food,💧 Water & Flavoured Water,Flavoured Sparkling water,1,1,1,1.273286,0,0.67814,0
2023-09-29,Grocery Food,🍿 Salty Snacks,Rice & Corn Cakes,13,8,15,18.326073,0.450361,11.74536,0
2023-08-06,Grocery Food,❄️ Frozen Products,Frozen Vegetables,11,5,23,54.951159,2.323165,34.6265,0
2023-08-24,Grocery Food,💧 Water & Flavoured Water,Sparkling water,16,14,235,216.423171,0,118.45614,0
2023-07-01,Grocery Food,💧 Water & Flavoured Water,Flavoured Sparkling water,1,0,0,0,0,0,0
2023-07-29,Grocery Food,💧 Water & Flavoured Water,Still Water,25,21,734,763.467043,40.083413,405.32633,0
2023-09-29,Grocery Food,❄️ Frozen Products,Frozen Potatoes,5,4,10,25.473547,0.552899,13.90291,0
2023-09-10,Grocery Food,🥘 Instant Meals,Instant Pasta & Noodles,4,4,9,25.261558,1.431306,17.10918,0
2023-07-01,Grocery Food,🍬 Sweet Snacks,Pralines / More Chocolate,52,13,24,51.580121,3.07988,33.65777,0
2023-07-08,Grocery Food,🍿 Salty Snacks,More Snacks,32,21,63,55.143116,1.927748,33.97329,0
2023-07-01,Grocery Food,🍷 Wine,Bio & Organic Wine,4,2,5,45.575551,6.97904,29.69117,0
2023-09-27,Grocery Food,🥤 Beverages,Energy Drinks,28,22,100,138.910799,5.575725,90.65193,7
2023-09-19,Grocery Food,🧑‍🍳 Pantry,Sauces,56,18,42,109.241514,3.589078,59.79239,0
2023-07-24,Grocery Food,🥫 Canned Goods & Preserves,Canned Fruits,9,2,2,2.943387,0.152455,1.71135,0
2023-09-20,Grocery Food,🍷 Wine,Sparkling Wine,24,3,11,96.45016,1.358056,63.09631,0
2023-09-04,Grocery Food,🍿 Salty Snacks,Rice & Corn Cakes,14,10,27,33.620589,1.693864,21.5618,0
2023-09-28,Grocery Food,🍦 Ice Cream,Cups,9,6,11,63.69301,0.452236,31.78721,0
2023-08-17,Grocery Food,🍺 Beer & Cider,National Favourites,14,10,194,147.53395,2.816105,92.1166,1
2023-07-13,Grocery Food,🥃 Spirits,Aperitifs,1,1,2,30.639346,2.298457,17.39538,0
2023-07-11,Grocery Food,🥃 Spirits,Cocktails & Mixers,15,5,13,38.701595,2.072542,20.7016,0
2023-09-09,Grocery Food,🍦 Ice Cream,Large,33,23,69,545.023875,52.030951,250.56992,0
2023-07-24,Grocery Food,🥫 Canned Goods & Preserves,Canned Fish,30,6,20,59.213301,6.067688,43.21372,0
2023-07-04,Grocery Food,"☕️ Coffee, Tea & Cocoa",Creamers & Mix-ins,5,1,4,16.15072,0.40397,10.09924,0
2023-09-19,Grocery Food,🧑‍🍳 Pantry,"Sugar, Flour & Baking",46,16,37,30.066567,1.293599,18.48655,0
2023-07-24,Grocery Food,🍦 Ice Cream,Large,30,24,60,479.357363,27.50278,301.27019,0
